source,target,source_era,target_era,genre_transition,verified_source
The Ramones,Green Day,Punk (1970s),Pop Punk (1990s),Punk to Pop Punk,AllMusic + Wikipedia
The Ramones,The Clash,Punk (1970s),Punk (1970s),Punk to Punk,AllMusic
The Clash,Green Day,Punk (1970s),Pop Punk (1990s),Punk to Pop Punk,AllMusic
The Clash,Joe Strummer,Punk (1970s),Post-Punk (1980s),Punk to Post-Punk,Wikipedia
Iggy Pop,David Bowie (Berlin),Proto-Punk (1970s),Berlin Period (1970s),Proto-Punk to Art Rock,AllMusic + Wikipedia
Joy Division,The Cure,Post-Punk (1970s),Goth Rock (1980s),Post-Punk to Goth Rock,AllMusic + Wikipedia
Joy Division,Interpol,Post-Punk (1970s),Post-Punk Revival (2000s),Post-Punk to Post-Punk Revival,AllMusic + Wikipedia
The Pixies,Nirvana,Alternative Rock (1980s),Grunge (1990s),Alt Rock to Grunge,Azerrad 1994 + AllMusic
The Pixies,Radiohead,Alternative Rock (1980s),Alternative Rock (1990s),Alt Rock to Alt Rock,AllMusic + Wikipedia
Sonic Youth,Nirvana,Noise Rock (1980s),Grunge (1990s),Noise Rock to Grunge,Azerrad 1994
Sonic Youth,Radiohead,Noise Rock (1980s),Alternative Rock (1990s),Noise Rock to Alt Rock,AllMusic
R.E.M.,Nirvana,Alternative Rock (1980s),Grunge (1990s),Alt Rock to Grunge,Azerrad 1994
R.E.M.,Green Day,Alternative Rock (1980s),Pop Punk (1990s),Alt Rock to Pop Punk,AllMusic
Nirvana,Foo Fighters,Grunge (1990s),Post-Grunge (1990s),Grunge to Post-Grunge,Wikipedia + AllMusic
Nirvana,Radiohead,Grunge (1990s),Alternative Rock (1990s),Grunge to Alt Rock,AllMusic
Nirvana,Green Day,Grunge (1990s),Pop Punk (1990s),Grunge to Pop Punk,AllMusic
Nirvana,Interpol,Grunge (1990s),Post-Punk Revival (2000s),Grunge to Post-Punk Revival,AllMusic
Metallica,Tool,Thrash Metal (1980s),Progressive Metal (1990s),Thrash to Progressive Metal,AllMusic + Wikipedia
Soundgarden,Foo Fighters,Grunge (1990s),Post-Grunge (1990s),Grunge to Post-Grunge,AllMusic
